State,Profit
California,76381.38709999999
New York,74015.4622
Washington,33402.651699999995
Michigan,24463.1876
Virginia,18514.900199999996
Indiana,18382.936299999998
Georgia,16250.0433
Kentucky,11158.268999999998
Minnesota,10823.1874
Delaware,9977.3748
New Jersey,9772.9138
Wisconsin,8401.8004
Rhode Island,7285.6293
Maryland,6873.308599999999
Massachusetts,6785.5016
Missouri,6436.2105
Alabama,5786.8253
Oklahoma,4853.955999999999
Arkansas,4008.6870999999996
Connecticut,3511.4918000000002
Nevada,3316.7659
Mississippi,3151.9634
Utah,2546.5335
Vermont,2244.9782999999998
Louisiana,2196.1023
Nebraska,2037.0941999999998
Montana,1833.3285
South Carolina,1769.0566
New Hampshire,1706.5028
Iowa,1183.8119
New Mexico,1157.1161
District of Columbia,1059.5892999999999
Kansas,836.4435
Idaho,826.7230999999999
Maine,454.48619999999994
South Dakota,394.82830000000007
North Dakota,230.14969999999997
West Virginia,185.9216
Wyoming,100.19599999999996
Oregon,-1190.4705
Florida,-3399.3017000000036
Arizona,-3427.924600000001
Tennessee,-5341.6936
Colorado,-6541.929100000002
North Carolina,-7545.654700000002
Illinois,-12607.887000000004
Pennsylvania,-15559.960300000004
Ohio,-16959.3178
Texas,-25729.35630000001
