,Product ID,Product Name,Category,Sub-Category,total_quantity,total_sales,total_profit,Profit per Unit
1640,TEC-CO-10004722,Canon imageCLASS 2200 Advanced Copier,Technology,Copiers,20,61599.82399999999,25199.927999999996,1259.9963999999998
1674,TEC-MA-10002927,Canon imageCLASS MF7460 Monochrome Digital Laser Multifunction Copier,Technology,Machines,2,3991.98,1995.99,997.995
1643,TEC-MA-10000045,Zebra ZM400 Thermal Label Printer,Technology,Machines,6,6965.700000000001,3343.536,557.256
1693,TEC-MA-10003979,Ativa V4110MDD Micro-Cut Shredder,Technology,Machines,11,7699.89,3772.9461,342.99510000000004
1657,TEC-MA-10001127,"HP Designjet T520 Inkjet Large Format Printer - 24"" Color",Technology,Machines,12,18374.895,4094.976599999999,341.2480499999999
1656,TEC-MA-10001047,"3D Systems Cube Printer, 2nd Generation, Magenta",Technology,Machines,11,14299.89,3717.9714000000004,337.9974
1691,TEC-MA-10003673,Hewlett-Packard Desktjet 6988DT Refurbished Printer,Technology,Machines,5,3404.5,1668.205,333.64099999999996
692,OFF-BI-10001120,Ibico EPK-21 Electric Binding System,Office Supplies,Binders,13,15875.916000000001,3345.2823,257.32940769230765
787,OFF-BI-10003527,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,Office Supplies,Binders,31,27453.384,7753.039,250.0980322580645
1636,TEC-CO-10003236,Canon Image Class D660 Copier,Technology,Copiers,7,3959.9339999999997,1691.9718,241.71025714285716
1637,TEC-CO-10003763,Canon PC1060 Personal Laser Copier,Technology,Copiers,19,11619.834,4570.9347,240.57551052631578
1630,TEC-CO-10001449,Hewlett Packard LaserJet 3310 Copier,Technology,Copiers,38,18839.686,6983.8836,183.7864105263158
1641,TEC-MA-10000010,Hewlett-Packard Deskjet 3050a All-in-One Color Inkjet Printer,Technology,Machines,8,3040.0,1459.2,182.4
1635,TEC-CO-10002313,Canon PC1080F Personal Copier,Technology,Copiers,11,5999.9,1973.9671000000003,179.45155454545457
1629,TEC-CO-10001046,Canon Imageclass D680 Copier / Fax,Technology,Copiers,16,8959.872000000001,2799.9599999999996,174.99749999999997
1631,TEC-CO-10001571,Sharp 1540cs Digital Laser Copier,Technology,Copiers,10,4399.92,1649.97,164.997
1541,TEC-AC-10002049,Plantronics Savi W720 Multi-Device Wireless Headset System,Technology,Accessories,24,9367.289999999999,3696.282,154.01175
1634,TEC-CO-10002095,Hewlett Packard 610 Color Digital Copier / Printer,Technology,Copiers,21,8899.822,3124.9375,148.80654761904762
1784,TEC-PH-10002114,Xiaomi Mi3,Technology,Phones,4,2279.96,592.7896000000001,148.19740000000002
1632,TEC-CO-10001766,Canon PC940 Copier,Technology,Copiers,15,5669.874000000001,2092.4534999999996,139.49689999999998
